,Unnamed: 0,name,type,kind,development_stage,vitality,attack,harmful,universe
7031,7031,Adelaisa Vendicci,None,imperial,0.9975369458128078,0.0439401255432158,0.0930279787326767,False,skyrim
5042,5042,Adhesion Trap Hole,Trap Card,normal,,,,False,yugioh
4387,4387,Adhesive Explosive,Effect Monster,machine,0.25,0.2,0.2,True,yugioh
7035,7035,Adisla,None,nord,0.0049261083743842,0.036214389183969,0.0833086376710537,False,skyrim
7023,7023,Adonato Leotelli,None,imperial,0.0049261083743842,0.0352486721390632,0.0855565240128998,False,skyrim
7002,7002,Adrianne Avenicci,VendorBlacksmith,imperial,0.0073891625615763,0.0458715596330275,0.0881025015253203,False,skyrim
6723,6723,Adril Arano,CombatWarrior1H,dark elf,0.0184729064039408,0.1149203283437952,0.0919550248409308,False,skyrim
7545,7545,Adult Black Dragon,Chaotic Evil,dragon,0.5625,0.5242307692307693,0.7133333333333334,True,dd5
7546,7546,Adult Blue Dragon,Lawful Evil,dragon,0.5625,0.5464201183431953,0.7133333333333334,True,dd5
7547,7547,Adult Brass Dragon,Chaotic Good,dragon,0.5625,0.4872189349112426,0.6933333333333334,True,dd5
7548,7548,Adult Bronze Dragon,Lawful Good,dragon,0.5625,0.5368047337278107,0.7133333333333334,True,dd5
7549,7549,Adult Copper Dragon,Chaotic Good,dragon,0.5625,0.496094674556213,0.6933333333333334,True,dd5
7550,7550,Adult Gold Dragon,Lawful Good,dragon,0.5625,0.5693491124260355,0.7133333333333334,True,dd5
7551,7551,Adult Green Dragon,Lawful Evil,dragon,0.5625,0.5331065088757396,0.7133333333333334,True,dd5
7552,7552,Adult Red Dragon,Chaotic Evil,dragon,0.5625,0.5693491124260355,0.7133333333333334,True,dd5
7553,7553,Adult Silver Dragon,Lawful Good,dragon,0.5625,0.5597337278106509,0.7133333333333334,True,dd5
7554,7554,Adult White Dragon,Chaotic Evil,dragon,0.5625,0.5079289940828402,0.6933333333333334,True,dd5
7343,7343,Aduri Sarethi,None,dark elf,0.0073891625615763,0.0439401255432158,0.0930279787326767,False,skyrim
4207,4207,Advance Draw,Spell Card,normal,,,,False,yugioh
3133,3133,Advance Force,Spell Card,continuous,,,,False,yugioh
6131,6131,Advance Zone,Spell Card,continuous,,,,False,yugioh
1044,1044,Advanced Dark,Spell Card,field,,,,False,yugioh
4974,4974,Advanced Heraldry Art,Spell Card,normal,,,,False,yugioh
3764,3764,Advanced Ritual Art,Spell Card,ritual,,,,False,yugioh
7358,7358,Adventurer,None,radiant,0.001231527093596,0.0169000482858522,0.0562843197071385,True,skyrim
876,876,Aegaion the Sea Castrum,XYZ Monster,machine,0.6666666666666666,0.6,0.0,False,yugioh
3849,3849,Aegis of Gaia,Trap Card,continuous,,,,False,yugioh
649,649,Aegis of the Ocean Dragon Lord,Trap Card,normal,,,,False,yugioh
6982,6982,Aela the Huntress,TrainerMarksmanExpert,nord,0.998768472906404,0.024142926122646,0.0694238647258781,True,skyrim
7314,7314,Aeri,None,nord,0.0073891625615763,0.0439401255432158,0.0930279787326767,False,skyrim
5691,5691,Aerial Recharge,Trap Card,continuous,,,,False,yugioh
6742,6742,Aerin,CombatWarrior1H,imperial,0.0073891625615763,0.0521487204249155,0.0775734332781312,False,skyrim
7197,7197,Aeta,None,nord,0.001231527093596,0.024142926122646,0.0239693192713326,False,skyrim
4628,4628,"Aether, the Empowering Dragon",Effect Monster,dragon,0.5,0.46,0.46,True,yugioh
2346,2346,"Aether, the Evil Empowering Dragon",Pendulum Effect Monster,dragon,0.5,0.46,0.46,True,yugioh
2085,2085,After The Struggle,Spell Card,normal,,,,False,yugioh
5239,5239,Against the Wind,Spell Card,normal,,,,False,yugioh
7443,7443,Agent Lorcalin,None,high elf,0.0172413793103448,0.153066151617576,0.2312420465440599,True,skyrim
1321,1321,Agido,Effect Monster,fairy,0.3333333333333333,0.3,0.3,True,yugioh
7259,7259,Agmaer,None,nord,0.998768472906404,0.024142926122646,0.0694238647258781,True,skyrim
6695,6695,Agni,None,nord,0.0049261083743842,0.0313858039594398,0.0383509108341323,False,skyrim
7444,7444,Agrane Peryval,CombatWarrior1H,breton,0.0049261083743842,0.0410429744084983,0.1196722740346901,False,skyrim
7376,7376,Ahjisi,None,khajiit,0.001231527093596,0.0169000482858522,0.0562843197071385,True,skyrim
7436,7436,Ahkari,None,khajiit,0.0061576354679802,0.0400772573635924,0.0879534559400331,False,skyrim
6960,6960,Ahlam,None,redguard,0.0049261083743842,0.036214389183969,0.0790115924344112,False,skyrim
6885,6885,Ahtar,CombatWarrior2H,redguard,0.998768472906404,0.024142926122646,0.0694238647258781,False,skyrim
6845,6845,Aia Arria,None,imperial,0.0073891625615763,0.0429744084983099,0.0961352741218513,False,skyrim
6670,6670,Aicantar,CombatMageConjurer,high elf,0.9975369458128078,0.024142926122646,0.1376056829076963,False,skyrim
7154,7154,Ainethach,None,breton,0.0073891625615763,0.0439401255432158,0.0930279787326767,False,skyrim
5543,5543,Air Armor Ninja,Effect Monster,warrior,0.3333333333333333,0.28,0.28,True,yugioh
680,680,Air Eater,Normal Monster,fiend,0.5,0.42,0.42,True,yugioh
7555,7555,Air Elemental,Neutral,elemental,0.25,0.3665680473372781,0.3,True,dd5
1495,1495,Airknight Parshath,Effect Monster,fairy,0.4166666666666667,0.38,0.38,True,yugioh
3946,3946,Aitsu,Normal Monster,fairy,0.4166666666666667,0.02,0.02,True,yugioh
3085,3085,Akakieisu,Normal Monster,spellcaster,0.25,0.2,0.2,True,yugioh
7404,7404,Akar,EncClassWerewolf,nord,0.9975369458128078,0.0676001931434089,0.0909962520700775,True,skyrim
2984,2984,Akihiron,Normal Monster,aqua,0.4166666666666667,0.34,0.34,True,yugioh
3152,3152,"Akz, the Pumer",Effect Monster,beast-warrior,0.5,0.3,0.3,True,yugioh
2123,2123,Al-Lumi'raj,Tuner Monster,wyrm,0.25,0.32,0.32,True,yugioh
7445,7445,Alain Dufont,None,breton,0.0049261083743842,0.036214389183969,0.0833086376710537,True,skyrim
5266,5266,Alchemic Magician,XYZ Monster,spellcaster,0.3333333333333333,0.3,0.3,True,yugioh
5271,5271,Alchemy Cycle,Trap Card,normal,,,,False,yugioh
7117,7117,Aldepius,None,imperial,0.998768472906404,0.1216803476581361,0.1331822539876231,False,skyrim
6565,6565,Alding,CombatWarrior1H,nord,0.001231527093596,0.024142926122646,0.0694238647258781,True,skyrim
7446,7446,Alea Quintus,CombatWarrior1H,nord,0.001231527093596,0.0004828585224529,0.0694238647258781,False,skyrim
1460,1460,"Alector, Sovereign of Birds",Effect Monster,winged beast,0.5,0.48,0.48,True,yugioh
6549,6549,Alesan,None,redguard,0.001231527093596,0.024142926122646,0.0239693192713326,False,skyrim
6769,6769,Alessandra,None,imperial,0.0123152709359605,0.0603573153066151,0.0981870478514773,False,skyrim
3520,3520,Alexandrite Dragon,Normal Monster,dragon,0.3333333333333333,0.4,0.4,True,yugioh
6923,6923,Alexia Vici,None,imperial,0.0049261083743842,0.036214389183969,0.0833086376710537,False,skyrim
7075,7075,Alfarinn,CombatWarrior1H,nord,0.0073891625615763,0.0521487204249155,0.0775734332781312,False,skyrim
6976,6976,Alfhild Battle-Born,None,nord,0.0049261083743842,0.036214389183969,0.0833086376710537,False,skyrim
3908,3908,"Alich, Malebranche of the Burning Abyss",Effect Monster,fiend,0.25,0.24,0.24,True,yugioh
58,58,Alien Ammonite,Tuner Monster,reptile,0.0833333333333333,0.1,0.1,True,yugioh
1449,1449,Alien Brain,Trap Card,normal,,,,False,yugioh
1270,1270,Alien Dog,Effect Monster,reptile,0.25,0.3,0.3,True,yugioh
5052,5052,Alien Grey,Flip Effect Monster,reptile,0.1666666666666666,0.16,0.06,True,yugioh
5041,5041,Alien Hunter,Effect Monster,reptile,0.3333333333333333,0.32,0.32,True,yugioh
3118,3118,Alien Hypno,Gemini Monster,reptile,0.3333333333333333,0.32,0.32,True,yugioh
6157,6157,Alien Infiltrator,Effect Monster,reptile,0.1666666666666666,0.16,0.16,True,yugioh
5177,5177,Alien Kid,Effect Monster,reptile,0.3333333333333333,0.32,0.32,True,yugioh
1990,1990,Alien Mother,Effect Monster,reptile,0.5,0.46,0.46,True,yugioh
5114,5114,Alien Overlord,Effect Monster,reptile,0.5,0.44,0.44,True,yugioh
4720,4720,Alien Psychic,Effect Monster,reptile,0.0833333333333333,0.04,0.04,True,yugioh
6463,6463,Alien Shocktrooper,Normal Monster,reptile,0.3333333333333333,0.38,0.38,True,yugioh
2134,2134,Alien Skull,Effect Monster,reptile,0.3333333333333333,0.36,0.32,True,yugioh
5698,5698,Alinsection,Normal Monster,insect,0.25,0.19,0.19,True,yugioh
2506,2506,All-Out Attacks,Trap Card,continuous,,,,False,yugioh
5204,5204,Alligator's Sword,Normal Monster,beast,0.3333333333333333,0.3,0.3,True,yugioh
284,284,Alligator's Sword Dragon,Fusion Monster,dragon,0.4166666666666667,0.34,0.34,True,yugioh
6349,6349,Allure Queen LV3,Effect Monster,spellcaster,0.25,0.1,0.1,True,yugioh
1956,1956,Allure Queen LV5,Effect Monster,spellcaster,0.4166666666666667,0.2,0.2,True,yugioh
4087,4087,Allure Queen LV7,Effect Monster,spellcaster,0.5833333333333334,0.3,0.3,True,yugioh
120,120,Allure of Darkness,Spell Card,normal,,,,False,yugioh
3258,3258,Ally Mind,Normal Tuner Monster,machine,0.4166666666666667,0.36,0.36,True,yugioh
4839,4839,Ally Salvo,Effect Monster,machine,0.1666666666666666,0.08,0.08,True,yugioh
2179,2179,Ally of Justice Catastor,Synchro Monster,machine,0.4166666666666667,0.44,0.44,True,yugioh
2962,2962,Ally of Justice Core Destroyer,Effect Monster,machine,0.25,0.24,0.24,True,yugioh
715,715,Ally of Justice Cosmic Gateway,Effect Monster,machine,0.6666666666666666,0.48,0.48,True,yugioh
668,668,Ally of Justice Cycle Reader,Tuner Monster,machine,0.25,0.2,0.2,True,yugioh
3724,3724,Ally of Justice Cyclone Creator,Tuner Monster,machine,0.25,0.28,0.28,True,yugioh
799,799,Ally of Justice Decisive Armor,Synchro Monster,machine,0.8333333333333334,0.66,0.66,True,yugioh
3681,3681,Ally of Justice Enemy Catcher,Effect Monster,machine,0.5,0.36,0.36,True,yugioh
5585,5585,Ally of Justice Field Marshal,Synchro Monster,machine,0.75,0.58,0.58,True,yugioh
2117,2117,Ally of Justice Garadholg,Effect Monster,machine,0.3333333333333333,0.32,0.32,True,yugioh
1583,1583,Ally of Justice Light Gazer,Synchro Monster,machine,0.6666666666666666,0.48,0.48,True,yugioh
6163,6163,Ally of Justice Nullfier,Effect Monster,machine,0.3333333333333333,0.32,0.32,True,yugioh
3714,3714,Ally of Justice Omni-Weapon,Effect Monster,machine,0.4166666666666667,0.44,0.44,True,yugioh
5841,5841,Ally of Justice Quarantine,Effect Monster,machine,0.3333333333333333,0.34,0.34,True,yugioh
4557,4557,Ally of Justice Reverse Break,Effect Monster,machine,0.3333333333333333,0.24,0.24,True,yugioh
4262,4262,Ally of Justice Rudra,Effect Monster,machine,0.4166666666666667,0.38,0.38,True,yugioh
310,310,Ally of Justice Searcher,Effect Monster,machine,0.25,0.28,0.28,True,yugioh
6344,6344,Ally of Justice Thousand Arms,Effect Monster,machine,0.3333333333333333,0.34,0.34,True,yugioh
5738,5738,Ally of Justice Thunder Armor,Effect Monster,machine,0.6666666666666666,0.54,0.54,True,yugioh
1834,1834,Ally of Justice Unknown Crusher,Effect Monster,machine,0.25,0.24,0.24,True,yugioh
3432,3432,Alpha The Electromagnet Warrior,Effect Monster,rock,0.25,0.34,0.34,True,yugioh
856,856,"Alsei, the Sylvan High Protector",XYZ Monster,plant,0.6666666666666666,0.64,0.46,True,yugioh
1725,1725,Altar for Tribute,Trap Card,normal,,,,False,yugioh
2250,2250,Altitude Knight,Effect Monster,warrior,0.3333333333333333,0.28,0.28,True,yugioh
6693,6693,Alva,None,nord,0.998768472906404,0.0965717044905842,0.1843022749063017,True,skyrim
7389,7389,Alvide,None,nord,0.001231527093596,0.024142926122646,0.0694238647258781,False,skyrim
7159,7159,Alvor,VendorBlacksmith,nord,0.0123152709359605,0.0632544664413326,0.103045410964874,True,skyrim
1566,1566,Amarylease,Effect Monster,plant,0.0833333333333333,0.04,0.02,True,yugioh
1646,1646,Amaterasu,Spirit Monster,fairy,0.75,0.6,0.6,True,yugioh
7447,7447,Amaund Motierre,None,breton,0.0049261083743842,0.0352486721390632,0.0855565240128998,False,skyrim
3063,3063,Amazing Pendulum,Spell Card,normal,,,,False,yugioh
1490,1490,Amazon of the Seas,Normal Monster,fish,0.3333333333333333,0.28,0.26,True,yugioh
5461,5461,Amazoness Archers,Trap Card,normal,,,,False,yugioh
5899,5899,Amazoness Blowpiper,Effect Monster,warrior,0.25,0.3,0.16,True,yugioh
2405,2405,Amazoness Chain Master,Effect Monster,warrior,0.3333333333333333,0.3,0.3,True,yugioh
4550,4550,Amazoness Fighter,Effect Monster,warrior,0.3333333333333333,0.3,0.3,True,yugioh
2920,2920,Amazoness Fighting Spirit,Spell Card,continuous,,,,False,yugioh
3886,3886,Amazoness Paladin,Effect Monster,warrior,0.3333333333333333,0.34,0.34,True,yugioh
6504,6504,Amazoness Pet Liger,Fusion Monster,beast,0.5833333333333334,0.5,0.5,True,yugioh
1310,1310,Amazoness Queen,Effect Monster,warrior,0.5,0.48,0.48,True,yugioh
4333,4333,Amazoness Sage,Effect Monster,warrior,0.3333333333333333,0.28,0.28,True,yugioh
5718,5718,Amazoness Scouts,Effect Monster,warrior,0.1666666666666666,0.22,0.1,True,yugioh
541,541,Amazoness Shamanism,Trap Card,normal,,,,False,yugioh
898,898,Amazoness Tiger,Effect Monster,beast,0.3333333333333333,0.3,0.22,True,yugioh
64,64,Amazoness Village,Spell Card,field,,,,False,yugioh
1816,1816,Amazoness Willpower,Trap Card,continuous,,,,False,yugioh
7046,7046,Ambarys Rendar,None,dark elf,0.0049261083743842,0.036214389183969,0.0833086376710537,False,skyrim
3368,3368,Ambitious Gofer,Effect Monster,fiend,0.5,0.48,0.48,True,yugioh
2940,2940,Ambulanceroid,Effect Monster,machine,0.25,0.24,0.06,True,yugioh
3267,3267,Amores of Prophecy,Effect Monster,spellcaster,0.25,0.4,0.12,True,yugioh
2700,2700,Amorphage Envy,Pendulum Effect Monster,dragon,0.3333333333333333,0.41,0.0,False,yugioh
2802,2802,Amorphage Gluttony,Pendulum Effect Monster,dragon,0.1666666666666666,0.37,0.0,False,yugioh
5549,5549,Amorphage Goliath,Pendulum Effect Monster,dragon,0.6666666666666666,0.55,0.55,True,yugioh
599,599,Amorphage Greed,Pendulum Effect Monster,dragon,0.3333333333333333,0.39,0.0,False,yugioh
4123,4123,Amorphage Infection,Spell Card,continuous,,,,False,yugioh
5697,5697,Amorphage Lechery,Pendulum Effect Monster,dragon,0.1666666666666666,0.27,0.27,True,yugioh
3896,3896,Amorphage Lysis,Trap Card,continuous,,,,False,yugioh
524,524,Amorphage Pride,Pendulum Effect Monster,dragon,0.3333333333333333,0.35,0.35,True,yugioh
2653,2653,Amorphage Sloth,Pendulum Effect Monster,dragon,0.5,0.45,0.45,True,yugioh
1902,1902,Amorphous Persona,Spell Card,field,,,,False,yugioh
5414,5414,Amphibian Beast,Normal Monster,fish,0.5,0.48,0.48,True,yugioh
3263,3263,Amphibious Bugroth,Fusion Monster,aqua,0.4166666666666667,0.37,0.37,True,yugioh
5195,5195,Amphibious Bugroth MK-3,Effect Monster,machine,0.3333333333333333,0.3,0.3,True,yugioh
30,30,Amplifier,Spell Card,equip,,,,False,yugioh
6931,6931,Amren,TrainerOneHandedJourneyman,redguard,0.0049261083743842,0.0410429744084983,0.0742177285801446,False,skyrim
6060,6060,Amulet Dragon,Fusion Monster,dragon,0.6666666666666666,0.58,0.58,True,yugioh
434,434,Amulet of Ambition,Spell Card,equip,,,,False,yugioh
1971,1971,An Owl of Luck,Flip Effect Monster,winged beast,0.1666666666666666,0.1,0.06,True,yugioh
1626,1626,An Unfortunate Report,Trap Card,normal,,,,False,yugioh
4746,4746,Anarchist Monk Ranshin,Effect Monster,spellcaster,0.3333333333333333,0.36,0.36,True,yugioh
7080,7080,Ancano,CombatMageElemental,high elf,0.998768472906404,0.024142926122646,0.0694238647258781,False,skyrim
7415,7415,Ancarion,None,high elf,0.0283251231527093,0.2163206180589087,0.280332955634969,True,skyrim
7556,7556,Ancient Black Dragon,Chaotic Evil,dragon,1.0,0.7114497041420118,0.7733333333333333,True,dd5
7557,7557,Ancient Blue Dragon,Lawful Evil,dragon,1.0,0.7957692307692308,0.7733333333333333,True,dd5
3467,3467,Ancient Brain,Normal Monster,fiend,0.25,0.2,0.2,True,yugioh
7558,7558,Ancient Brass Dragon,Chaotic Good,dragon,1.0,0.6196745562130178,0.7333333333333334,True,dd5
7559,7559,Ancient Bronze Dragon,Lawful Good,dragon,1.0,0.7684023668639053,0.7733333333333333,True,dd5
2798,2798,Ancient City - Rainbow Ruins,Spell Card,field,,,,False,yugioh
7560,7560,Ancient Copper Dragon,Chaotic Good,dragon,1.0,0.6788757396449704,0.7533333333333333,True,dd5
4140,4140,Ancient Crimson Ape,Effect Monster,beast,0.5833333333333334,0.52,0.52,True,yugioh
3124,3124,Ancient Dragon,Effect Monster,dragon,0.3333333333333333,0.28,0.28,True,yugioh
2130,2130,Ancient Fairy Dragon,Synchro Monster,dragon,0.5833333333333334,0.6,0.42,True,yugioh
2161,2161,Ancient Flamvell Deity,Synchro Monster,pyro,0.5833333333333334,0.5,0.5,True,yugioh
2563,2563,Ancient Gear,Effect Monster,machine,0.1666666666666666,0.16,0.02,True,yugioh
864,864,Ancient Gear Beast,Effect Monster,machine,0.5,0.4,0.4,True,yugioh
4949,4949,Ancient Gear Box,Effect Monster,machine,0.3333333333333333,0.4,0.1,True,yugioh
3605,3605,Ancient Gear Catapult,Spell Card,normal,,,,False,yugioh
5446,5446,Ancient Gear Drill,Spell Card,normal,,,,False,yugioh
163,163,Ancient Gear Engineer,Effect Monster,machine,0.4166666666666667,0.3,0.3,True,yugioh
381,381,Ancient Gear Explosive,Spell Card,normal,,,,False,yugioh
2467,2467,Ancient Gear Factory,Spell Card,normal,,,,False,yugioh
3322,3322,Ancient Gear Fist,Spell Card,equip,,,,False,yugioh
5644,5644,Ancient Gear Fortress,Spell Card,continuous,,,,False,yugioh
1530,1530,Ancient Gear Gadget,Effect Monster,machine,0.3333333333333333,0.4,0.1,True,yugioh
4152,4152,Ancient Gear Gadjiltron Dragon,Effect Monster,machine,0.6666666666666666,0.6,0.6,True,yugioh
6307,6307,Ancient Gear Golem,Effect Monster,machine,0.6666666666666666,0.6,0.6,True,yugioh
6346,6346,Ancient Gear Howitzer,Fusion Monster,machine,0.6666666666666666,0.36,0.2,True,yugioh
3503,3503,Ancient Gear Hunting Hound,Effect Monster,machine,0.25,0.2,0.2,True,yugioh
3190,3190,Ancient Gear Knight,Gemini Monster,machine,0.3333333333333333,0.36,0.36,True,yugioh
3665,3665,Ancient Gear Reactor Dragon,Effect Monster,machine,0.75,0.6,0.6,True,yugioh
3887,3887,Ancient Gear Reborn,Trap Card,continuous,,,,False,yugioh
4569,4569,Ancient Gear Soldier,Effect Monster,machine,0.3333333333333333,0.26,0.26,True,yugioh
3034,3034,Ancient Gear Tank,Spell Card,equip,,,,False,yugioh
3606,3606,Ancient Gear Token,Token,machine,,,,False,yugioh
4866,4866,Ancient Gear Workshop,Spell Card,normal,,,,False,yugioh
1471,1471,Ancient Gear Wyvern,Effect Monster,machine,0.3333333333333333,0.34,0.34,True,yugioh
7561,7561,Ancient Gold Dragon,Lawful Good,dragon,1.0,0.8438461538461539,0.7733333333333333,True,dd5
7562,7562,Ancient Green Dragon,Lawful Evil,dragon,1.0,0.7047633136094674,0.7533333333333333,True,dd5
6290,6290,Ancient Jar,Normal Monster,rock,0.0833333333333333,0.08,0.08,True,yugioh
4473,4473,Ancient Lamp,Effect Monster,spellcaster,0.25,0.28,0.18,True,yugioh
975,975,Ancient Leaf,Spell Card,normal,,,,False,yugioh
3529,3529,Ancient Lizard Warrior,Normal Monster,reptile,0.3333333333333333,0.28,0.28,True,yugioh
1146,1146,Ancient One of the Deep Forest,Normal Monster,beast,0.5,0.38,0.36,True,yugioh
356,356,Ancient Pixie Dragon,Synchro Monster,dragon,0.5833333333333334,0.6,0.42,True,yugioh
7563,7563,Ancient Red Dragon,Chaotic Evil,dragon,1.0,0.8438461538461539,0.7733333333333333,True,dd5
875,875,Ancient Rules,Spell Card,normal,,,,False,yugioh
2138,2138,Ancient Sacred Wyvern,Synchro Monster,fairy,0.5833333333333334,0.42,0.42,True,yugioh
7564,7564,Ancient Silver Dragon,Lawful Good,dragon,1.0,0.800207100591716,0.7733333333333333,True,dd5
2978,2978,Ancient Sorcerer,Normal Monster,spellcaster,0.3333333333333333,0.26,0.2,True,yugioh
1408,1408,Ancient Telescope,Spell Card,normal,,,,False,yugioh
4046,4046,Ancient Tool,Normal Monster,machine,0.4166666666666667,0.34,0.34,True,yugioh
7565,7565,Ancient White Dragon,Chaotic Evil,dragon,1.0,0.646301775147929,0.7333333333333334,True,dd5
3894,3894,And the Band Played On,Trap Card,continuous,,,,False,yugioh
1227,1227,Andro Sphinx,Effect Monster,beast,0.8333333333333334,0.6,0.6,True,yugioh
7566,7566,Androsphinx,Lawful Neutral,monstrosity,0.25,0.487189349112426,0.6733333333333333,True,dd5
6967,6967,Andurs,None,nord,0.0049261083743842,0.036214389183969,0.0790115924344112,False,skyrim
4626,4626,Angel O7,Effect Monster,fairy,0.5833333333333334,0.5,0.5,True,yugioh
3448,3448,Angel of Zera,Synchro Monster,fairy,0.6666666666666666,0.56,0.56,True,yugioh
6843,6843,Angeline Morrard,VendorApothecary,breton,0.0073891625615763,0.0439401255432158,0.0930279787326767,False,skyrim
7448,7448,Angi,None,nord,0.0123152709359605,0.0724287783679381,0.0694238647258781,False,skyrim
