,name,type,kind,development_stage,vitality,attack,harmful,universe
83,Doggy Diver,Effect Monster,Warrior,0.3333333333333333,0.2,0.2,True,yugioh
84,Starlight Junktion,Spell Card,Field,,,,False,yugioh
85,Void Trap Hole,Trap Card,Normal,,,,False,yugioh
86,Junk Changer,Tuner Monster,Warrior,0.25,0.3,0.3,True,yugioh
87,Painful Decision,Spell Card,Normal,,,,False,yugioh
88,Misfortune,Spell Card,Normal,,,,False,yugioh
89,Geargiano Mk-II,Effect Monster,Machine,0.25,0.2,0.2,True,yugioh
90,Satellarknight Unukalhai,Effect Monster,Warrior,0.3333333333333333,0.36,0.36,True,yugioh
91,Scrapyard,Spell Card,Normal,,,,False,yugioh
92,Magic Planter,Spell Card,Normal,,,,False,yugioh
93,Pyro Clock of Destiny,Trap Card,Normal,,,,False,yugioh
94,Dark Mimic LV3,Effect Monster,Fiend,0.25,0.2,0.2,True,yugioh
95,Sargasso the D.D. Battlefield,Spell Card,Field,,,,False,yugioh
96,Deck Lockdown,Spell Card,Continuous,,,,False,yugioh
97,Paleozoic Leanchoilia,Trap Card,Normal,,,,False,yugioh
98,Kojikocy,Normal Monster,Warrior,0.3333333333333333,0.3,0.3,True,yugioh
99,Mirror of Yata,Spell Card,Equip,,,,False,yugioh
100,Malevolent Catastrophe,Trap Card,Normal,,,,False,yugioh
101,Chain Destruction,Trap Card,Normal,,,,False,yugioh
102,Herald of Pure Light,XYZ Monster,Fairy,0.16666666666666666,0.2,0.12,True,yugioh
103,Gem-Knight Fusion,Spell Card,Normal,,,,False,yugioh
104,Kozmo Soartroopers,Effect Monster,Psychic,0.25,0.2,0.2,True,yugioh
105,Vylon Tetra,Tuner Monster,Machine,0.16666666666666666,0.18,0.18,True,yugioh
106,Prime Material Falcon,Effect Monster,Winged Beast,0.4166666666666667,0.44,0.44,True,yugioh
107,T.G. Striker,Tuner Monster,Warrior,0.16666666666666666,0.16,0.16,True,yugioh
108,Mysterious Guard,Flip Effect Monster,Spellcaster,0.25,0.24,0.16,True,yugioh
109,"Valhalla, Hall of the Fallen",Spell Card,Continuous,,,,False,yugioh
110,Ronintoadin,Effect Monster,Aqua,0.16666666666666666,0.4,0.02,True,yugioh
111,Photon Crusher,Effect Monster,Warrior,0.3333333333333333,0.4,0.4,True,yugioh
112,Vampire Koala,Effect Monster,Beast,0.3333333333333333,0.36,0.36,True,yugioh
113,Shared Ride,Spell Card,Quick-Play,,,,False,yugioh
114,Hazy Flame Sphynx,Effect Monster,Beast-Warrior,0.5,0.38,0.38,True,yugioh
115,Super Roboyarou,Fusion Monster,Machine,0.5,0.24,0.24,True,yugioh
116,Phantom Token,Token,Fiend,,,,False,yugioh
117,Chaos Necromancer,Effect Monster,Fiend,0.08333333333333333,0.0,0.0,False,yugioh
118,Dragon Treasure,Spell Card,Equip,,,,False,yugioh
119,Bee List Soldier,Effect Monster,Insect,0.08333333333333333,0.1,0.1,True,yugioh
120,Allure of Darkness,Spell Card,Normal,,,,False,yugioh
121,Kagemusha of the Six Samurai,Tuner Monster,Warrior,0.16666666666666666,0.36,0.08,True,yugioh
122,Rune-Eyes Pendulum Dragon,Fusion Monster,Dragon,0.6666666666666666,0.6,0.6,True,yugioh
123,The Hunter with 7 Weapons,Effect Monster,Warrior,0.25,0.2,0.2,True,yugioh
124,R-Genex Magma,Effect Monster,Pyro,0.25,0.2,0.2,True,yugioh
125,Space Gift,Spell Card,Normal,,,,False,yugioh
126,Cyber End Dragon,Fusion Monster,Machine,0.8333333333333334,0.8,0.8,True,yugioh
127,Cyber End Dragon,Fusion Monster,Machine,0.8333333333333334,0.8,0.8,True,yugioh
128,"Rose, Warrior of Revenge",Tuner Monster,Warrior,0.3333333333333333,0.32,0.32,True,yugioh
129,Silver Bow and Arrow,Spell Card,Equip,,,,False,yugioh
130,ABC-Dragon Buster,Fusion Monster,Machine,0.6666666666666666,0.6,0.6,True,yugioh
131,White Ninja,Flip Effect Monster,Warrior,0.3333333333333333,0.3,0.3,True,yugioh
132,Deep-Space Cruiser IX,Effect Monster,Machine,0.75,0.18,0.18,True,yugioh
133,Dimension Fortress Weapon,Effect Monster,Machine,0.3333333333333333,0.34,0.34,True,yugioh
134,Dark Requiem Xyz Dragon,XYZ Monster,Dragon,0.4166666666666667,0.6,0.6,True,yugioh
135,Grand Horn of Heaven,Trap Card,Counter,,,,False,yugioh
136,Divine Dragon Knight Felgrand,XYZ Monster,Warrior,0.6666666666666666,0.56,0.56,True,yugioh
137,Fusionist,Fusion Monster,Beast,0.25,0.18,0.18,True,yugioh
138,Vylon Segment,Spell Card,Equip,,,,False,yugioh
139,Brotherhood of the Fire Fist - Spirit,Tuner Monster,Beast-Warrior,0.25,0.1,0.1,True,yugioh
140,Spell Purification,Trap Card,Normal,,,,False,yugioh
141,Ultimaya Tzolkin,Synchro Monster,Dragon,1.0,0.0,0.0,False,yugioh
142,The Big March of Animals,Spell Card,Quick-Play,,,,False,yugioh
143,PSY-Framegear Epsilon,Tuner Monster,Psychic,0.16666666666666666,0.3,0.3,True,yugioh
144,Malefic Cyber End Dragon,Effect Monster,Machine,0.8333333333333334,0.8,0.8,True,yugioh
145,Nekogal 1,Normal Monster,Beast,0.25,0.22,0.22,True,yugioh
146,Fuh-Rin-Ka-Zan,Trap Card,Normal,,,,False,yugioh
147,Uraby,Normal Monster,Dinosaur,0.3333333333333333,0.3,0.3,True,yugioh
148,The Eye of Timaeus,Spell Card,Normal,,,,False,yugioh
149,Centrifugal Field,Spell Card,Field,,,,False,yugioh
150,Sealing Ceremony of Mokuton,Trap Card,Continuous,,,,False,yugioh
151,Dark Coffin,Trap Card,Normal,,,,False,yugioh
152,Toy Knight,Effect Monster,Machine,0.3333333333333333,0.24,0.04,True,yugioh
153,Shadow of the Six Samurai - Shien,XYZ Monster,Warrior,0.3333333333333333,0.5,0.5,True,yugioh
154,Heroic Challenger - Thousand Blades,Effect Monster,Warrior,0.3333333333333333,0.26,0.26,True,yugioh
155,Wattcine,Spell Card,Continuous,,,,False,yugioh
156,Overdrive Teleporter,Effect Monster,Psychic,0.5,0.42,0.42,True,yugioh
157,Instant Fusion,Spell Card,Normal,,,,False,yugioh
158,Bujintei Kagutsuchi,XYZ Monster,Beast-Warrior,0.3333333333333333,0.5,0.5,True,yugioh
159,Dimension Explosion,Spell Card,Quick-Play,,,,False,yugioh
160,Minor Goblin Official,Trap Card,Continuous,,,,False,yugioh
161,Key Mace,Normal Monster,Fairy,0.08333333333333333,0.08,0.08,True,yugioh
162,Elemental HERO Nova Master,Fusion Monster,Warrior,0.6666666666666666,0.52,0.52,True,yugioh
163,Ancient Gear Engineer,Effect Monster,Machine,0.4166666666666667,0.3,0.3,True,yugioh
164,Mokey Mokey Smackdown,Spell Card,Continuous,,,,False,yugioh
165,Puppet Ritual,Spell Card,Normal,,,,False,yugioh
166,Silent Swordsman LV3,Effect Monster,Warrior,0.25,0.2,0.2,True,yugioh
167,Blackwing - Gale the Whirlwind,Tuner Monster,Winged Beast,0.25,0.26,0.26,True,yugioh
168,Hidden Soldiers,Trap Card,Normal,,,,False,yugioh
169,Time-Space Trap Hole,Trap Card,Normal,,,,False,yugioh
170,Gladiator Beast Lanista,Effect Monster,Winged Beast,0.3333333333333333,0.36,0.36,True,yugioh
171,Wetlands,Spell Card,Field,,,,False,yugioh
172,Worm Victory,Flip Effect Monster,Reptile,0.5833333333333334,0.5,0.0,False,yugioh
173,Constellar Praesepe,XYZ Monster,Machine,0.3333333333333333,0.48,0.48,True,yugioh
174,"Bixi, Water of the Yang Zing",Effect Monster,Wyrm,0.16666666666666666,0.4,0.0,False,yugioh
175,Smile World,Spell Card,Normal,,,,False,yugioh
176,XY-Dragon Cannon,Fusion Monster,Machine,0.5,0.44,0.44,True,yugioh
177,Hyosube,Normal Monster,Aqua,0.3333333333333333,0.3,0.3,True,yugioh
178,Trap Reclamation,Trap Card,Normal,,,,False,yugioh
179,Blue-Eyes Twin Burst Dragon,Fusion Monster,Dragon,0.8333333333333334,0.6,0.6,True,yugioh
180,Numinous Healer,Trap Card,Normal,,,,False,yugioh
181,Asura Priest,Spirit Monster,Fairy,0.3333333333333333,0.34,0.34,True,yugioh
182,Meklord Army of Granel,Effect Monster,Machine,0.3333333333333333,0.32,0.32,True,yugioh
183,Armor Ninjitsu Art of Rust Mist,Trap Card,Continuous,,,,False,yugioh
184,Cyber Prima,Effect Monster,Warrior,0.5,0.46,0.46,True,yugioh
185,Night Papilloperative,XYZ Monster,Warrior,0.3333333333333333,0.52,0.52,True,yugioh
186,Gambler of Legend,Effect Monster,Spellcaster,0.3333333333333333,0.28,0.1,True,yugioh
187,XX-Saber Hyunlei,Synchro Monster,Warrior,0.5,0.46,0.46,True,yugioh
188,Book of Life,Spell Card,Normal,,,,False,yugioh
189,Morphtronic Staplen,Effect Monster,Machine,0.3333333333333333,0.28,0.28,True,yugioh
190,Satellarknight Altair,Effect Monster,Warrior,0.3333333333333333,0.34,0.34,True,yugioh
191,One for One,Spell Card,Normal,,,,False,yugioh
192,Symbol of Friendship,Spell Card,Normal,,,,False,yugioh
193,Overdrive,Normal Monster,Machine,0.3333333333333333,0.32,0.32,True,yugioh
194,Dark Magic Attack,Spell Card,Normal,,,,False,yugioh
195,Princess Curran,Effect Monster,Spellcaster,0.3333333333333333,0.4,0.4,True,yugioh
196,Road Warrior,Synchro Monster,Warrior,0.6666666666666666,0.6,0.6,True,yugioh
197,Des Lacooda,Effect Monster,Zombie,0.25,0.12,0.1,True,yugioh
198,Tyr of the Nordic Champions,Effect Monster,Warrior,0.3333333333333333,0.4,0.4,True,yugioh
199,Great Long Nose,Spirit Monster,Beast-Warrior,0.4166666666666667,0.38,0.38,True,yugioh
200,Pendulum Area,Trap Card,Normal,,,,False,yugioh
201,Light of Redemption,Spell Card,Normal,,,,False,yugioh
202,Steel Shell,Spell Card,Equip,,,,False,yugioh
203,Xyz Reflect,Trap Card,Counter,,,,False,yugioh
204,Paleozoic Eldonia,Trap Card,Normal,,,,False,yugioh
205,Neo Flamvell Hedgehog,Tuner Monster,Pyro,0.25,0.16,0.16,True,yugioh
206,Steel Cavalry of Dinon,Pendulum Effect Monster,Dinosaur,0.3333333333333333,0.52,0.32,True,yugioh
207,Power Tool Dragon,Synchro Monster,Machine,0.5833333333333334,0.5,0.46,True,yugioh
208,Laval Volcano Handmaiden,Tuner Monster,Pyro,0.08333333333333333,0.04,0.02,True,yugioh
209,"Shire, Lightsworn Spirit",Effect Monster,Fairy,0.25,0.28,0.08,True,yugioh
210,Marauding Captain,Effect Monster,Warrior,0.25,0.24,0.24,True,yugioh
211,Inzektor Ladybug,Effect Monster,Insect,0.16666666666666666,0.1,0.1,True,yugioh
212,Sealmaster Meisei,Normal Monster,Spellcaster,0.25,0.22,0.22,True,yugioh
213,Water Omotics,Normal Monster,Aqua,0.3333333333333333,0.28,0.28,True,yugioh
214,Skull Knight,Fusion Monster,Spellcaster,0.5833333333333334,0.53,0.53,True,yugioh
215,Legendary Six Samurai - Kageki,Effect Monster,Warrior,0.25,0.4,0.04,True,yugioh
216,Sky Galloping Gaia the Dragon Champion,Fusion Monster,Dragon,0.5833333333333334,0.52,0.52,True,yugioh
217,Brotherhood of the Fire Fist - Swallow,Effect Monster,Beast-Warrior,0.4166666666666667,0.4,0.4,True,yugioh
218,"Defender, the Magical Knight",Effect Monster,Spellcaster,0.3333333333333333,0.4,0.32,True,yugioh
219,Galaxy-Eyes Cipher Blade Dragon,XYZ Monster,Dragon,0.75,0.64,0.64,True,yugioh
220,Red Cocoon,Trap Card,Normal,,,,False,yugioh
221,Majespecter Tempest,Trap Card,Counter,,,,False,yugioh
222,Shocktopus,Effect Monster,Fish,0.3333333333333333,0.32,0.32,True,yugioh
223,Wizard Buster Destruction Sword,Effect Monster,Spellcaster,0.25,0.24,0.24,True,yugioh
224,Photon Chargeman,Effect Monster,Warrior,0.3333333333333333,0.2,0.2,True,yugioh
225,Gladiator Beast Samnite,Effect Monster,Beast,0.25,0.32,0.32,True,yugioh
226,ZW - Sleipnir Mail,Effect Monster,Beast,0.3333333333333333,0.2,0.2,True,yugioh
227,Hyper Hammerhead,Effect Monster,Dinosaur,0.3333333333333333,0.3,0.3,True,yugioh
228,Medusa Worm,Effect Monster,Rock,0.16666666666666666,0.12,0.1,True,yugioh
229,Fluffal Cat,Effect Monster,Fairy,0.08333333333333333,0.14,0.14,True,yugioh
230,Decoy Dragon,Effect Monster,Dragon,0.16666666666666666,0.06,0.06,True,yugioh
231,Crystron Phoenix,Synchro Monster,Machine,0.75,0.56,0.56,True,yugioh
232,Graydle Impact,Spell Card,Continuous,,,,False,yugioh
233,Daigusto Phoenix,XYZ Monster,Pyro,0.16666666666666666,0.3,0.3,True,yugioh
234,Wattchimera,Synchro Monster,Thunder,0.5,0.28,0.28,True,yugioh
235,Wall of Thorns,Trap Card,Normal,,,,False,yugioh
236,Majesty with Eyes of Blue,Spell Card,Quick-Play,,,,False,yugioh
237,Servant of Catabolism,Effect Monster,Aqua,0.25,0.14,0.14,True,yugioh
238,PSY-Framegear Beta,Tuner Monster,Psychic,0.08333333333333333,0.14,0.14,True,yugioh
239,Flame Viper,Normal Monster,Pyro,0.16666666666666666,0.09,0.08,True,yugioh
240,Rainbow Kuriboh,Effect Monster,Fiend,0.08333333333333333,0.02,0.02,True,yugioh
241,D. Tribe,Trap Card,Normal,,,,False,yugioh
242,Nimble Sunfish,Effect Monster,Fish,0.16666666666666666,0.2,0.2,True,yugioh
243,Reflect Bounder,Effect Monster,Machine,0.3333333333333333,0.34,0.34,True,yugioh
244,Tribute Doll,Spell Card,Normal,,,,False,yugioh
245,Grappler,Normal Monster,Reptile,0.3333333333333333,0.26,0.26,True,yugioh
246,Karakuri Cash Shed,Trap Card,Counter,,,,False,yugioh
247,Curse of Royal,Trap Card,Counter,,,,False,yugioh
248,Gogogo Golem - Golden Form,Effect Monster,Rock,0.3333333333333333,0.3,0.0,False,yugioh
249,Naturia Barkion,Synchro Monster,Dragon,0.5,0.5,0.5,True,yugioh
250,Wicked Dragon with the Ersatz Head,Normal Monster,Dragon,0.25,0.18,0.18,True,yugioh
251,Ryu-Ran,Normal Monster,Dragon,0.5833333333333334,0.52,0.44,True,yugioh
252,Orion the Battle King,Normal Monster,Fairy,0.4166666666666667,0.36,0.36,True,yugioh
253,Consecrated Light,Effect Monster,Fairy,0.08333333333333333,0.0,0.0,False,yugioh
254,Twilight Rose Knight,Tuner Monster,Warrior,0.25,0.2,0.2,True,yugioh
255,Cyberdark Keel,Effect Monster,Machine,0.3333333333333333,0.16,0.16,True,yugioh
256,Fake Trap,Trap Card,Normal,,,,False,yugioh
257,Test Ape,Effect Monster,Beast,0.16666666666666666,0.14,0.14,True,yugioh
258,Trap of Board Eraser,Trap Card,Counter,,,,False,yugioh
259,Invader of the Throne,Flip Effect Monster,Warrior,0.3333333333333333,0.34,0.27,True,yugioh
260,Superheavy Samurai Soulbang Cannon,Effect Monster,Machine,0.25,0.2,0.2,True,yugioh
261,Snow Dragon,Effect Monster,Dragon,0.3333333333333333,0.28,0.28,True,yugioh
262,Return Zombie,Effect Monster,Zombie,0.3333333333333333,0.32,0.2,True,yugioh
263,Blackwing - Hillen the Tengu-wind,Tuner Monster,Winged Beast,0.4166666666666667,0.46,0.0,False,yugioh
264,Yata-Garasu,Spirit Monster,Fiend,0.16666666666666666,0.04,0.04,True,yugioh
265,Brilliant Spark,Trap Card,Normal,,,,False,yugioh
266,Gem-Knight Seraphinite,Fusion Monster,Fairy,0.4166666666666667,0.46,0.46,True,yugioh
267,Superheavy Samurai Big Benkei,Effect Monster,Machine,0.6666666666666666,0.7,0.2,True,yugioh
268,Tiki Curse,Trap Card,Continuous,,,,False,yugioh
269,Flying Kamakiri 2,Normal Monster,Insect,0.3333333333333333,0.3,0.3,True,yugioh
270,Level Limit - Area B,Spell Card,Continuous,,,,False,yugioh
271,Psychic Reactor,Trap Card,Normal,,,,False,yugioh
272,Tutan Mask,Trap Card,Counter,,,,False,yugioh
273,Exchange of Night and Day,Trap Card,Continuous,,,,False,yugioh
274,Puppet King,Effect Monster,Warrior,0.5833333333333334,0.56,0.56,True,yugioh
275,Takuhee,Normal Monster,Winged Beast,0.3333333333333333,0.29,0.29,True,yugioh
276,Chain Dispel,Trap Card,Normal,,,,False,yugioh
277,Worm Solid,Effect Monster,Reptile,0.3333333333333333,0.32,0.2,True,yugioh
278,Forbidden Apocrypha,Trap Card,Normal,,,,False,yugioh
279,Shield Spear,Trap Card,Normal,,,,False,yugioh
280,Sixth Sense,Trap Card,Normal,,,,False,yugioh
281,Evoltile Lagosucho,Effect Monster,Reptile,0.25,0.24,0.24,True,yugioh
282,The Phantom Knights' Rank-Up-Magic Launch,Spell Card,Quick-Play,,,,False,yugioh
283,Hieratic Dragon of Su,Effect Monster,Dragon,0.5,0.44,0.44,True,yugioh
284,Alligator's Sword Dragon,Fusion Monster,Dragon,0.4166666666666667,0.34,0.34,True,yugioh
285,Cyber Phoenix,Effect Monster,Machine,0.3333333333333333,0.32,0.24,True,yugioh
286,Gravekeeper's Priestess,Effect Monster,Spellcaster,0.25,0.3,0.2,True,yugioh
287,Mozarta the Melodious Maestra,Effect Monster,Fairy,0.6666666666666666,0.52,0.52,True,yugioh
288,C-Crush Wyvern,Union Effect Monster,Machine,0.3333333333333333,0.4,0.24,True,yugioh
289,"Buster Blader, the Destruction Swordmaster",Effect Monster,Warrior,0.5833333333333334,0.52,0.52,True,yugioh
290,Drill Warrior,Synchro Monster,Warrior,0.5,0.48,0.48,True,yugioh
291,Assault Beast,Effect Monster,Beast-Warrior,0.3333333333333333,0.38,0.38,True,yugioh
292,Insect Armor with Laser Cannon,Spell Card,Equip,,,,False,yugioh
293,Dicephoon,Spell Card,Quick-Play,,,,False,yugioh
294,Don Turtle,Effect Monster,Reptile,0.25,0.24,0.22,True,yugioh
295,Stealth Bird,Effect Monster,Winged Beast,0.25,0.34,0.14,True,yugioh
296,Coach Soldier Wolfbark,Effect Monster,Beast-Warrior,0.3333333333333333,0.32,0.32,True,yugioh
297,Evilswarm Zahak,Effect Monster,Dragon,0.3333333333333333,0.37,0.37,True,yugioh
298,Dice Jar,Flip Effect Monster,Rock,0.25,0.06,0.04,True,yugioh
299,White Duston,Normal Monster,Fiend,0.08333333333333333,0.2,0.0,False,yugioh
300,Swordsman of Landstar,Normal Monster,Warrior,0.25,0.24,0.1,True,yugioh
301,Crystolic Potential,Spell Card,Field,,,,False,yugioh
302,Merlin,Effect Monster,Spellcaster,0.25,0.28,0.28,True,yugioh
303,Shreddder,Effect Monster,Machine,0.3333333333333333,0.32,0.32,True,yugioh
304,One Who Hunts Souls,Normal Monster,Beast-Warrior,0.3333333333333333,0.22,0.22,True,yugioh
305,Gagaga Girl,Effect Monster,Spellcaster,0.25,0.2,0.2,True,yugioh
306,Skull Guardian,Ritual Monster,Warrior,0.5833333333333334,0.5,0.41,True,yugioh
307,Cyber Angel Idaten,Ritual Effect Monster,Fairy,0.5,0.4,0.32,True,yugioh
308,Elemental HERO Great Tornado,Fusion Monster,Warrior,0.6666666666666666,0.56,0.56,True,yugioh
309,The Legendary Fisherman,Effect Monster,Warrior,0.4166666666666667,0.37,0.37,True,yugioh
310,Ally of Justice Searcher,Effect Monster,Machine,0.25,0.28,0.28,True,yugioh
311,Cyber Valley,Effect Monster,Machine,0.08333333333333333,0.0,0.0,False,yugioh
312,Overload Fusion,Spell Card,Normal,,,,False,yugioh
313,Double Snare,Spell Card,Normal,,,,False,yugioh
314,Dark Cure,Trap Card,Continuous,,,,False,yugioh
315,Shaddoll Beast,Flip Effect Monster,Spellcaster,0.4166666666666667,0.44,0.44,True,yugioh
316,Water Element,Normal Monster,Aqua,0.25,0.18,0.18,True,yugioh
317,Naturia Sacred Tree,Trap Card,Continuous,,,,False,yugioh
318,D.D. Scout Plane,Effect Monster,Machine,0.16666666666666666,0.24,0.16,True,yugioh
319,Indiora Doom Volt the Cubic Emperor,Effect Monster,Fairy,0.3333333333333333,0.0,0.0,False,yugioh
320,Rampaging Rhynos,Effect Monster,Beast-Warrior,0.25,0.3,0.3,True,yugioh
321,Slot Machine,Normal Monster,Machine,0.5833333333333334,0.46,0.4,True,yugioh
322,Monk Fighter,Effect Monster,Rock,0.25,0.26,0.26,True,yugioh
323,Skypalace Gangaridai,XYZ Monster,Machine,0.8333333333333334,0.68,0.68,True,yugioh
324,Seven Tools of the Bandit,Trap Card,Counter,,,,False,yugioh
325,Gravekeeper's Visionary,Effect Monster,Spellcaster,0.6666666666666666,0.4,0.4,True,yugioh
326,Fluffal Bear,Effect Monster,Fairy,0.25,0.24,0.24,True,yugioh
327,TGX3-DX2,Trap Card,Normal,,,,False,yugioh
328,Psychic Tuning,Trap Card,Continuous,,,,False,yugioh
329,Super Vehicroid - Stealth Union,Fusion Monster,Machine,0.75,0.72,0.72,True,yugioh
